there are 158 cases in argentina .,total confirmed,argentina,march
there are 0 total confirmed cases in armenia in january.,total confirmed,armenia,january
there are 0 confirmed cases in armenia in january.,total confirmed,armenia,january
there are 0 total cases in armenia in january.,total confirmed,armenia,january
there are 0 cases in armenia in january.,total confirmed,armenia,january
there are 0 total confirmed cases in armenia in february.,total confirmed,armenia,february
there are 0 confirmed cases in armenia in february.,total confirmed,armenia,february
there are 0 total cases in armenia in february.,total confirmed,armenia,february
there are 0 cases in armenia in february.,total confirmed,armenia,february
there are 160 total confirmed cases in armenia in march.,total confirmed,armenia,march
there are 160 confirmed cases in armenia in march.,total confirmed,armenia,march
there are 160 total cases in armenia in march.,total confirmed,armenia,march
there are 160 total confirmed cases in armenia .,total confirmed,armenia,march
there are 160 cases in armenia in march.,total confirmed,armenia,march
there are 160 confirmed cases in armenia .,total confirmed,armenia,march
there are 160 total cases in armenia .,total confirmed,armenia,march
there are 160 cases in armenia .,total confirmed,armenia,march
there are 9 total confirmed cases in australia in january.,total confirmed,australia,january
there are 9 confirmed cases in australia in january.,total confirmed,australia,january
there are 9 total cases in australia in january.,total confirmed,australia,january
there are 9 cases in australia in january.,total confirmed,australia,january
there are 25 total confirmed cases in australia in february.,total confirmed,australia,february
there are 25 confirmed cases in australia in february.,total confirmed,australia,february
there are 25 total cases in australia in february.,total confirmed,australia,february
there are 25 cases in australia in february.,total confirmed,australia,february
there are 1071 total confirmed cases in australia in march.,total confirmed,australia,march
there are 1071 confirmed cases in australia in march.,total confirmed,australia,march
there are 1071 total cases in australia in march.,total confirmed,australia,march
there are 1071 total confirmed cases in australia .,total confirmed,australia,march
there are 1071 cases in australia in march.,total confirmed,australia,march
there are 1071 confirmed cases in australia .,total confirmed,australia,march
there are 1071 total cases in australia .,total confirmed,australia,march
there are 1071 cases in australia .,total confirmed,australia,march
there are 0 total confirmed cases in austria in january.,total confirmed,austria,january
there are 0 confirmed cases in austria in january.,total confirmed,austria,january
there are 0 total cases in austria in january.,total confirmed,austria,january
there are 0 cases in austria in january.,total confirmed,austria,january
there are 9 total confirmed cases in austria in february.,total confirmed,austria,february
there are 9 confirmed cases in austria in february.,total confirmed,austria,february
there are 9 total cases in austria in february.,total confirmed,austria,february
there are 9 cases in austria in february.,total confirmed,austria,february
there are 2814 total confirmed cases in austria in march.,total confirmed,austria,march
there are 2814 confirmed cases in austria in march.,total confirmed,austria,march
there are 2814 total cases in austria in march.,total confirmed,austria,march
there are 2814 total confirmed cases in austria .,total confirmed,austria,march
there are 2814 cases in austria in march.,total confirmed,austria,march
there are 2814 confirmed cases in austria .,total confirmed,austria,march
there are 2814 total cases in austria .,total confirmed,austria,march
there are 2814 cases in austria .,total confirmed,austria,march
there are 0 total confirmed cases in azerbaijan in january.,total confirmed,azerbaijan,january
there are 0 confirmed cases in azerbaijan in january.,total confirmed,azerbaijan,january
there are 0 total cases in azerbaijan in january.,total confirmed,azerbaijan,january
there are 0 cases in azerbaijan in january.,total confirmed,azerbaijan,january
there are 0 total confirmed cases in azerbaijan in february.,total confirmed,azerbaijan,february
there are 0 confirmed cases in azerbaijan in february.,total confirmed,azerbaijan,february
there are 0 total cases in azerbaijan in february.,total confirmed,azerbaijan,february
there are 0 cases in azerbaijan in february.,total confirmed,azerbaijan,february
there are 53 total confirmed cases in azerbaijan in march.,total confirmed,azerbaijan,march
there are 53 confirmed cases in azerbaijan in march.,total confirmed,azerbaijan,march
there are 53 total cases in azerbaijan in march.,total confirmed,azerbaijan,march
there are 53 total confirmed cases in azerbaijan .,total confirmed,azerbaijan,march
there are 53 cases in azerbaijan in march.,total confirmed,azerbaijan,march
there are 53 confirmed cases in azerbaijan .,total confirmed,azerbaijan,march
there are 53 total cases in azerbaijan .,total confirmed,azerbaijan,march
there are 53 cases in azerbaijan .,total confirmed,azerbaijan,march
there are 0 total confirmed cases in bahrain in january.,total confirmed,bahrain,january
there are 0 confirmed cases in bahrain in january.,total confirmed,bahrain,january
there are 0 total cases in bahrain in january.,total confirmed,bahrain,january
there are 0 cases in bahrain in january.,total confirmed,bahrain,january
there are 41 total confirmed cases in bahrain in february.,total confirmed,bahrain,february
there are 41 confirmed cases in bahrain in february.,total confirmed,bahrain,february
there are 41 total cases in bahrain in february.,total confirmed,bahrain,february
there are 41 cases in bahrain in february.,total confirmed,bahrain,february
there are 305 total confirmed cases in bahrain in march.,total confirmed,bahrain,march
there are 305 confirmed cases in bahrain in march.,total confirmed,bahrain,march
there are 305 total cases in bahrain in march.,total confirmed,bahrain,march
there are 305 total confirmed cases in bahrain .,total confirmed,bahrain,march
there are 305 cases in bahrain in march.,total confirmed,bahrain,march
there are 305 confirmed cases in bahrain .,total confirmed,bahrain,march
there are 305 total cases in bahrain .,total confirmed,bahrain,march
there are 305 cases in bahrain .,total confirmed,bahrain,march
there are 0 total confirmed cases in bangladesh in january.,total confirmed,bangladesh,january
there are 0 confirmed cases in bangladesh in january.,total confirmed,bangladesh,january
there are 0 total cases in bangladesh in january.,total confirmed,bangladesh,january
there are 0 cases in bangladesh in january.,total confirmed,bangladesh,january
there are 0 total confirmed cases in bangladesh in february.,total confirmed,bangladesh,february
there are 0 confirmed cases in bangladesh in february.,total confirmed,bangladesh,february
there are 0 total cases in bangladesh in february.,total confirmed,bangladesh,february
there are 0 cases in bangladesh in february.,total confirmed,bangladesh,february
there are 25 total confirmed cases in bangladesh in march.,total confirmed,bangladesh,march
there are 25 confirmed cases in bangladesh in march.,total confirmed,bangladesh,march
there are 25 total cases in bangladesh in march.,total confirmed,bangladesh,march
there are 25 total confirmed cases in bangladesh .,total confirmed,bangladesh,march
there are 25 cases in bangladesh in march.,total confirmed,bangladesh,march
there are 25 confirmed cases in bangladesh .,total confirmed,bangladesh,march
there are 25 total cases in bangladesh .,total confirmed,bangladesh,march
there are 25 cases in bangladesh .,total confirmed,bangladesh,march
there are 0 total confirmed cases in belarus in january.,total confirmed,belarus,january
there are 0 confirmed cases in belarus in january.,total confirmed,belarus,january
there are 0 total cases in belarus in january.,total confirmed,belarus,january
there are 0 cases in belarus in january.,total confirmed,belarus,january
there are 1 total confirmed cases in belarus in february.,total confirmed,belarus,february
there are 1 confirmed cases in belarus in february.,total confirmed,belarus,february
there are 1 total cases in belarus in february.,total confirmed,belarus,february
there are 1 cases in belarus in february.,total confirmed,belarus,february
there are 76 total confirmed cases in belarus in march.,total confirmed,belarus,march
there are 76 confirmed cases in belarus in march.,total confirmed,belarus,march
there are 76 total cases in belarus in march.,total confirmed,belarus,march
there are 76 total confirmed cases in belarus .,total confirmed,belarus,march
there are 76 cases in belarus in march.,total confirmed,belarus,march
there are 76 confirmed cases in belarus .,total confirmed,belarus,march
there are 76 total cases in belarus .,total confirmed,belarus,march
there are 76 cases in belarus .,total confirmed,belarus,march
there are 0 total confirmed cases in belgium in january.,total confirmed,belgium,january
there are 0 confirmed cases in belgium in january.,total confirmed,belgium,january
there are 0 total cases in belgium in january.,total confirmed,belgium,january
there are 0 cases in belgium in january.,total confirmed,belgium,january
there are 1 total confirmed cases in belgium in february.,total confirmed,belgium,february
there are 1 confirmed cases in belgium in february.,total confirmed,belgium,february
there are 1 total cases in belgium in february.,total confirmed,belgium,february
there are 1 cases in belgium in february.,total confirmed,belgium,february
there are 2815 total confirmed cases in belgium in march.,total confirmed,belgium,march
there are 2815 confirmed cases in belgium in march.,total confirmed,belgium,march
there are 2815 total cases in belgium in march.,total confirmed,belgium,march
there are 2815 total confirmed cases in belgium .,total confirmed,belgium,march
there are 2815 cases in belgium in march.,total confirmed,belgium,march
there are 2815 confirmed cases in belgium .,total confirmed,belgium,march
there are 2815 total cases in belgium .,total confirmed,belgium,march
there are 2815 cases in belgium .,total confirmed,belgium,march
there are 0 total confirmed cases in benin in january.,total confirmed,benin,january
there are 0 confirmed cases in benin in january.,total confirmed,benin,january
there are 0 total cases in benin in january.,total confirmed,benin,january
there are 0 cases in benin in january.,total confirmed,benin,january
there are 0 total confirmed cases in benin in february.,total confirmed,benin,february
there are 0 confirmed cases in benin in february.,total confirmed,benin,february
there are 0 total cases in benin in february.,total confirmed,benin,february
there are 0 cases in benin in february.,total confirmed,benin,february
there are 2 total confirmed cases in benin in march.,total confirmed,benin,march
there are 2 confirmed cases in benin in march.,total confirmed,benin,march
there are 2 total cases in benin in march.,total confirmed,benin,march
there are 2 total confirmed cases in benin .,total confirmed,benin,march
there are 2 cases in benin in march.,total confirmed,benin,march
there are 2 confirmed cases in benin .,total confirmed,benin,march
there are 2 total cases in benin .,total confirmed,benin,march
there are 2 cases in benin .,total confirmed,benin,march
there are 0 total confirmed cases in bhutan in january.,total confirmed,bhutan,january
there are 0 confirmed cases in bhutan in january.,total confirmed,bhutan,january
there are 0 total cases in bhutan in january.,total confirmed,bhutan,january
there are 0 cases in bhutan in january.,total confirmed,bhutan,january
there are 0 total confirmed cases in bhutan in february.,total confirmed,bhutan,february
there are 0 confirmed cases in bhutan in february.,total confirmed,bhutan,february
there are 0 total cases in bhutan in february.,total confirmed,bhutan,february
there are 0 cases in bhutan in february.,total confirmed,bhutan,february
there are 2 total confirmed cases in bhutan in march.,total confirmed,bhutan,march
there are 2 confirmed cases in bhutan in march.,total confirmed,bhutan,march
there are 2 total cases in bhutan in march.,total confirmed,bhutan,march
there are 2 total confirmed cases in bhutan .,total confirmed,bhutan,march
there are 2 cases in bhutan in march.,total confirmed,bhutan,march
there are 2 confirmed cases in bhutan .,total confirmed,bhutan,march
there are 2 total cases in bhutan .,total confirmed,bhutan,march
there are 2 cases in bhutan .,total confirmed,bhutan,march
there are 0 total confirmed cases in bolivia in january.,total confirmed,bolivia,january
there are 0 confirmed cases in bolivia in january.,total confirmed,bolivia,january
there are 0 total cases in bolivia in january.,total confirmed,bolivia,january
there are 0 cases in bolivia in january.,total confirmed,bolivia,january
there are 0 total confirmed cases in bolivia in february.,total confirmed,bolivia,february
there are 0 confirmed cases in bolivia in february.,total confirmed,bolivia,february
there are 0 total cases in bolivia in february.,total confirmed,bolivia,february
there are 0 cases in bolivia in february.,total confirmed,bolivia,february
there are 19 total confirmed cases in bolivia in march.,total confirmed,bolivia,march
there are 19 confirmed cases in bolivia in march.,total confirmed,bolivia,march
there are 19 total cases in bolivia in march.,total confirmed,bolivia,march
there are 19 total confirmed cases in bolivia .,total confirmed,bolivia,march
there are 19 cases in bolivia in march.,total confirmed,bolivia,march
there are 19 confirmed cases in bolivia .,total confirmed,bolivia,march
there are 19 total cases in bolivia .,total confirmed,bolivia,march
there are 19 cases in bolivia .,total confirmed,bolivia,march
there are 0 total confirmed cases in bosnia and herzegovina in january.,total confirmed,bosnia and herzegovina,january
there are 0 confirmed cases in bosnia and herzegovina in january.,total confirmed,bosnia and herzegovina,january
there are 0 total cases in bosnia and herzegovina in january.,total confirmed,bosnia and herzegovina,january
there are 0 cases in bosnia and herzegovina in january.,total confirmed,bosnia and herzegovina,january
there are 0 total confirmed cases in bosnia and herzegovina in february.,total confirmed,bosnia and herzegovina,february
there are 0 confirmed cases in bosnia and herzegovina in february.,total confirmed,bosnia and herzegovina,february
there are 0 total cases in bosnia and herzegovina in february.,total confirmed,bosnia and herzegovina,february
there are 0 cases in bosnia and herzegovina in february.,total confirmed,bosnia and herzegovina,february
there are 93 total confirmed cases in bosnia and herzegovina in march.,total confirmed,bosnia and herzegovina,march
there are 93 confirmed cases in bosnia and herzegovina in march.,total confirmed,bosnia and herzegovina,march
there are 93 total cases in bosnia and herzegovina in march.,total confirmed,bosnia and herzegovina,march
there are 93 total confirmed cases in bosnia and herzegovina .,total confirmed,bosnia and herzegovina,march
there are 93 cases in bosnia and herzegovina in march.,total confirmed,bosnia and herzegovina,march
there are 93 confirmed cases in bosnia and herzegovina .,total confirmed,bosnia and herzegovina,march
there are 93 total cases in bosnia and herzegovina .,total confirmed,bosnia and herzegovina,march
there are 93 cases in bosnia and herzegovina .,total confirmed,bosnia and herzegovina,march
there are 0 total confirmed cases in brazil in january.,total confirmed,brazil,january
there are 0 confirmed cases in brazil in january.,total confirmed,brazil,january
there are 0 total cases in brazil in january.,total confirmed,brazil,january
there are 0 cases in brazil in january.,total confirmed,brazil,january
there are 2 total confirmed cases in brazil in february.,total confirmed,brazil,february
there are 2 confirmed cases in brazil in february.,total confirmed,brazil,february
there are 2 total cases in brazil in february.,total confirmed,brazil,february
there are 2 cases in brazil in february.,total confirmed,brazil,february
there are 1021 total confirmed cases in brazil in march.,total confirmed,brazil,march
there are 1021 confirmed cases in brazil in march.,total confirmed,brazil,march
there are 1021 total cases in brazil in march.,total confirmed,brazil,march
there are 1021 total confirmed cases in brazil .,total confirmed,brazil,march
there are 1021 cases in brazil in march.,total confirmed,brazil,march
there are 1021 confirmed cases in brazil .,total confirmed,brazil,march
there are 1021 total cases in brazil .,total confirmed,brazil,march
there are 1021 cases in brazil .,total confirmed,brazil,march
there are 0 total confirmed cases in brunei in january.,total confirmed,brunei,january
there are 0 confirmed cases in brunei in january.,total confirmed,brunei,january
there are 0 total cases in brunei in january.,total confirmed,brunei,january
there are 0 cases in brunei in january.,total confirmed,brunei,january
there are 0 total confirmed cases in brunei in february.,total confirmed,brunei,february
there are 0 confirmed cases in brunei in february.,total confirmed,brunei,february
there are 0 total cases in brunei in february.,total confirmed,brunei,february
there are 0 cases in brunei in february.,total confirmed,brunei,february
there are 83 total confirmed cases in brunei in march.,total confirmed,brunei,march
there are 83 confirmed cases in brunei in march.,total confirmed,brunei,march
there are 83 total cases in brunei in march.,total confirmed,brunei,march
there are 83 total confirmed cases in brunei .,total confirmed,brunei,march
there are 83 cases in brunei in march.,total confirmed,brunei,march
there are 83 confirmed cases in brunei .,total confirmed,brunei,march
there are 83 total cases in brunei .,total confirmed,brunei,march
there are 83 cases in brunei .,total confirmed,brunei,march
there are 0 total confirmed cases in bulgaria in january.,total confirmed,bulgaria,january
there are 0 confirmed cases in bulgaria in january.,total confirmed,bulgaria,january
there are 0 total cases in bulgaria in january.,total confirmed,bulgaria,january
there are 0 cases in bulgaria in january.,total confirmed,bulgaria,january
there are 0 total confirmed cases in bulgaria in february.,total confirmed,bulgaria,february
there are 0 confirmed cases in bulgaria in february.,total confirmed,bulgaria,february
there are 0 total cases in bulgaria in february.,total confirmed,bulgaria,february
there are 0 cases in bulgaria in february.,total confirmed,bulgaria,february
there are 163 total confirmed cases in bulgaria in march.,total confirmed,bulgaria,march
there are 163 confirmed cases in bulgaria in march.,total confirmed,bulgaria,march
there are 163 total cases in bulgaria in march.,total confirmed,bulgaria,march
there are 163 total confirmed cases in bulgaria .,total confirmed,bulgaria,march
there are 163 cases in bulgaria in march.,total confirmed,bulgaria,march
there are 163 confirmed cases in bulgaria .,total confirmed,bulgaria,march
there are 163 total cases in bulgaria .,total confirmed,bulgaria,march
there are 163 cases in bulgaria .,total confirmed,bulgaria,march
there are 0 total confirmed cases in burkina faso in january.,total confirmed,burkina faso,january
there are 0 confirmed cases in burkina faso in january.,total confirmed,burkina faso,january
there are 0 total cases in burkina faso in january.,total confirmed,burkina faso,january
there are 0 cases in burkina faso in january.,total confirmed,burkina faso,january
there are 0 total confirmed cases in burkina faso in february.,total confirmed,burkina faso,february
there are 0 confirmed cases in burkina faso in february.,total confirmed,burkina faso,february
there are 0 total cases in burkina faso in february.,total confirmed,burkina faso,february
there are 0 cases in burkina faso in february.,total confirmed,burkina faso,february
there are 64 total confirmed cases in burkina faso in march.,total confirmed,burkina faso,march
there are 64 confirmed cases in burkina faso in march.,total confirmed,burkina faso,march
there are 64 total cases in burkina faso in march.,total confirmed,burkina faso,march
there are 64 total confirmed cases in burkina faso .,total confirmed,burkina faso,march
there are 64 cases in burkina faso in march.,total confirmed,burkina faso,march
there are 64 confirmed cases in burkina faso .,total confirmed,burkina faso,march
there are 64 total cases in burkina faso .,total confirmed,burkina faso,march
there are 64 cases in burkina faso .,total confirmed,burkina faso,march
there are 1 total confirmed cases in cambodia in january.,total confirmed,cambodia,january
there are 1 confirmed cases in cambodia in january.,total confirmed,cambodia,january
there are 1 total cases in cambodia in january.,total confirmed,cambodia,january
there are 1 cases in cambodia in january.,total confirmed,cambodia,january
there are 1 total confirmed cases in cambodia in february.,total confirmed,cambodia,february
there are 1 confirmed cases in cambodia in february.,total confirmed,cambodia,february
there are 1 total cases in cambodia in february.,total confirmed,cambodia,february
there are 1 cases in cambodia in february.,total confirmed,cambodia,february
there are 53 total confirmed cases in cambodia in march.,total confirmed,cambodia,march
there are 53 confirmed cases in cambodia in march.,total confirmed,cambodia,march
there are 53 total cases in cambodia in march.,total confirmed,cambodia,march
there are 53 total confirmed cases in cambodia .,total confirmed,cambodia,march
there are 53 cases in cambodia in march.,total confirmed,cambodia,march
there are 53 confirmed cases in cambodia .,total confirmed,cambodia,march
there are 53 total cases in cambodia .,total confirmed,cambodia,march
there are 53 cases in cambodia .,total confirmed,cambodia,march
there are 0 total confirmed cases in cameroon in january.,total confirmed,cameroon,january
there are 0 confirmed cases in cameroon in january.,total confirmed,cameroon,january
there are 0 total cases in cameroon in january.,total confirmed,cameroon,january
there are 0 cases in cameroon in january.,total confirmed,cameroon,january
there are 0 total confirmed cases in cameroon in february.,total confirmed,cameroon,february
there are 0 confirmed cases in cameroon in february.,total confirmed,cameroon,february
there are 0 total cases in cameroon in february.,total confirmed,cameroon,february
there are 0 cases in cameroon in february.,total confirmed,cameroon,february
there are 27 total confirmed cases in cameroon in march.,total confirmed,cameroon,march
there are 27 confirmed cases in cameroon in march.,total confirmed,cameroon,march
there are 27 total cases in cameroon in march.,total confirmed,cameroon,march
there are 27 total confirmed cases in cameroon .,total confirmed,cameroon,march
there are 27 cases in cameroon in march.,total confirmed,cameroon,march
there are 27 confirmed cases in cameroon .,total confirmed,cameroon,march
there are 27 total cases in cameroon .,total confirmed,cameroon,march
there are 27 cases in cameroon .,total confirmed,cameroon,march
there are 4 total confirmed cases in canada in january.,total confirmed,canada,january
there are 4 confirmed cases in canada in january.,total confirmed,canada,january
there are 4 total cases in canada in january.,total confirmed,canada,january
there are 4 cases in canada in january.,total confirmed,canada,january
there are 20 total confirmed cases in canada in february.,total confirmed,canada,february
there are 20 confirmed cases in canada in february.,total confirmed,canada,february
there are 20 total cases in canada in february.,total confirmed,canada,february
there are 20 cases in canada in february.,total confirmed,canada,february
there are 1278 total confirmed cases in canada in march.,total confirmed,canada,march
there are 1278 confirmed cases in canada in march.,total confirmed,canada,march
there are 1278 total cases in canada in march.,total confirmed,canada,march
there are 1278 total confirmed cases in canada .,total confirmed,canada,march
there are 1278 cases in canada in march.,total confirmed,canada,march
there are 1278 confirmed cases in canada .,total confirmed,canada,march
there are 1278 total cases in canada .,total confirmed,canada,march
there are 1278 cases in canada .,total confirmed,canada,march
there are 0 total confirmed cases in central african republic in january.,total confirmed,central african republic,january
there are 0 confirmed cases in central african republic in january.,total confirmed,central african republic,january
there are 0 total cases in central african republic in january.,total confirmed,central african republic,january
there are 0 cases in central african republic in january.,total confirmed,central african republic,january
there are 0 total confirmed cases in central african republic in february.,total confirmed,central african republic,february
there are 0 confirmed cases in central african republic in february.,total confirmed,central african republic,february
there are 0 total cases in central african republic in february.,total confirmed,central african republic,february
there are 0 cases in central african republic in february.,total confirmed,central african republic,february
there are 3 total confirmed cases in central african republic in march.,total confirmed,central african republic,march
there are 3 confirmed cases in central african republic in march.,total confirmed,central african republic,march
there are 3 total cases in central african republic in march.,total confirmed,central african republic,march
there are 3 total confirmed cases in central african republic .,total confirmed,central african republic,march
there are 3 cases in central african republic in march.,total confirmed,central african republic,march
there are 3 confirmed cases in central african republic .,total confirmed,central african republic,march
there are 3 total cases in central african republic .,total confirmed,central african republic,march
there are 3 cases in central african republic .,total confirmed,central african republic,march
there are 0 total confirmed cases in chile in january.,total confirmed,chile,january
there are 0 confirmed cases in chile in january.,total confirmed,chile,january
there are 0 total cases in chile in january.,total confirmed,chile,january
there are 0 cases in chile in january.,total confirmed,chile,january
there are 0 total confirmed cases in chile in february.,total confirmed,chile,february
there are 0 confirmed cases in chile in february.,total confirmed,chile,february
there are 0 total cases in chile in february.,total confirmed,chile,february
there are 0 cases in chile in february.,total confirmed,chile,february
there are 537 total confirmed cases in chile in march.,total confirmed,chile,march
there are 537 confirmed cases in chile in march.,total confirmed,chile,march
there are 537 total cases in chile in march.,total confirmed,chile,march
there are 537 total confirmed cases in chile .,total confirmed,chile,march
there are 537 cases in chile in march.,total confirmed,chile,march
there are 537 confirmed cases in chile .,total confirmed,chile,march
there are 537 total cases in chile .,total confirmed,chile,march
there are 537 cases in chile .,total confirmed,chile,march
there are 9802 total confirmed cases in china in january.,total confirmed,china,january
there are 9802 confirmed cases in china in january.,total confirmed,china,january
there are 9802 total cases in china in january.,total confirmed,china,january
there are 9802 cases in china in january.,total confirmed,china,january
there are 79356 total confirmed cases in china in february.,total confirmed,china,february
there are 79356 confirmed cases in china in february.,total confirmed,china,february
there are 79356 total cases in china in february.,total confirmed,china,february
there are 79356 cases in china in february.,total confirmed,china,february
there are 81305 total confirmed cases in china in march.,total confirmed,china,march
there are 81305 confirmed cases in china in march.,total confirmed,china,march
there are 81305 total cases in china in march.,total confirmed,china,march
there are 81305 total confirmed cases in china .,total confirmed,china,march
there are 81305 cases in china in march.,total confirmed,china,march
there are 81305 confirmed cases in china .,total confirmed,china,march
there are 81305 total cases in china .,total confirmed,china,march
there are 81305 cases in china .,total confirmed,china,march
there are 0 total confirmed cases in colombia in january.,total confirmed,colombia,january
there are 0 confirmed cases in colombia in january.,total confirmed,colombia,january
there are 0 total cases in colombia in january.,total confirmed,colombia,january
there are 0 cases in colombia in january.,total confirmed,colombia,january
there are 0 total confirmed cases in colombia in february.,total confirmed,colombia,february
there are 0 confirmed cases in colombia in february.,total confirmed,colombia,february
there are 0 total cases in colombia in february.,total confirmed,colombia,february
there are 0 cases in colombia in february.,total confirmed,colombia,february
there are 196 total confirmed cases in colombia in march.,total confirmed,colombia,march
